issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101011099,426,4,2,6,12.0,Big,Even,,20260818101011099
20260818101011098,112,1,1,2,4.0,Small,Even,,20260818101011098
20260818101011097,365,3,6,5,14.0,Big,Even,,20260818101011097
20260818101011096,112,1,1,2,4.0,Small,Even,,20260818101011096
20260818101011095,115,1,1,5,7.0,Small,Odd,,20260818101011095
20260818101011094,564,5,6,4,15.0,Big,Odd,,20260818101011094
20260818101011093,216,2,1,6,9.0,Small,Odd,,20260818101011093
20260818101011092,563,5,6,3,14.0,Big,Even,,20260818101011092
20260818101011091,225,2,2,5,9.0,Small,Odd,,20260818101011091
20260818101011090,111,1,1,1,3.0,Small,Odd,,20260818101011090
20260818101011089,146,1,4,6,11.0,Big,Odd,,20260818101011089
20260818101011088,562,5,6,2,13.0,Big,Odd,,20260818101011088
20260818101011087,622,6,2,2,10.0,Small,Even,,20260818101011087
20260818101011086,523,5,2,3,10.0,Small,Even,,20260818101011086
20260818101011085,612,6,1,2,9.0,Small,Odd,,20260818101011085
20260818101011084,553,5,5,3,13.0,Big,Odd,,20260818101011084
20260818101011083,333,3,3,3,9.0,Small,Odd,,20260818101011083
20260818101011082,114,1,1,4,6.0,Small,Even,,20260818101011082
20260818101011081,552,5,5,2,12.0,Big,Even,,20260818101011081
20260818101011080,635,6,3,5,14.0,Big,Even,,20260818101011080
20260818101011079,521,5,2,1,8.0,Small,Even,,20260818101011079
20260818101011078,432,4,3,2,9.0,Small,Odd,,20260818101011078
20260818101011077,212,2,1,2,5.0,Small,Odd,,20260818101011077
20260818101011076,434,4,3,4,11.0,Big,Odd,,20260818101011076
20260818101011075,264,2,6,4,12.0,Big,Even,,20260818101011075
20260818101011074,262,2,6,2,10.0,Small,Even,,20260818101011074
20260818101011073,661,6,6,1,13.0,Big,Odd,,20260818101011073
20260818101011072,611,6,1,1,8.0,Small,Even,,20260818101011072
20260818101011071,444,4,4,4,12.0,Big,Even,,20260818101011071
20260818101011070,552,5,5,2,12.0,Big,Even,,20260818101011070
20260818101011069,315,3,1,5,9.0,Small,Odd,,20260818101011069
20260818101011068,432,4,3,2,9.0,Small,Odd,,20260818101011068
20260818101011067,356,3,5,6,14.0,Big,Even,,20260818101011067
20260818101011066,266,2,6,6,14.0,Big,Even,,20260818101011066
20260818101011065,242,2,4,2,8.0,Small,Even,,20260818101011065
20260818101011064,145,1,4,5,10.0,Small,Even,,20260818101011064
20260818101011063,513,5,1,3,9.0,Small,Odd,,20260818101011063
20260818101011062,455,4,5,5,14.0,Big,Even,,20260818101011062
20260818101011061,365,3,6,5,14.0,Big,Even,,20260818101011061
20260818101011060,654,6,5,4,15.0,Big,Odd,,20260818101011060
20260818101011059,342,3,4,2,9.0,Small,Odd,,20260818101011059
20260818101011058,336,3,3,6,12.0,Big,Even,,20260818101011058
20260818101011057,134,1,3,4,8.0,Small,Even,,20260818101011057
20260818101011056,264,2,6,4,12.0,Big,Even,,20260818101011056
20260818101011055,546,5,4,6,15.0,Big,Odd,,20260818101011055
20260818101011054,543,5,4,3,12.0,Big,Even,,20260818101011054
20260818101011053,635,6,3,5,14.0,Big,Even,,20260818101011053
20260818101011052,626,6,2,6,14.0,Big,Even,,20260818101011052
20260818101011051,654,6,5,4,15.0,Big,Odd,,20260818101011051
