issueNumber,number,color,size
20260818101010500,6,Red,Big
20260818101010499,3,Green,Small
20260818101010498,7,Green,Big
20260818101010497,4,Red,Small
20260818101010496,6,Red,Big
20260818101010495,9,Green,Big
20260818101010494,2,Red,Small
20260818101010493,6,Red,Big
20260818101010492,7,Green,Big
20260818101010491,4,Red,Small
20260818101010490,3,Green,Small
20260818101010489,7,Green,Big
20260818101010488,7,Green,Big
20260818101010487,2,Red,Small
20260818101010486,5,Violet,Big
20260818101010485,4,Red,Small
20260818101010484,1,Green,Small
20260818101010483,7,Green,Big
20260818101010482,5,Violet,Big
20260818101010481,1,Green,Small
20260818101010480,4,Red,Small
20260818101010479,0,Violet,Small
20260818101010478,9,Green,Big
20260818101010477,5,Violet,Big
20260818101010476,8,Red,Big
20260818101010475,0,Violet,Small
20260818101010474,9,Green,Big
20260818101010473,2,Red,Small
20260818101010472,6,Red,Big
20260818101010471,3,Green,Small
20260818101010470,8,Red,Big
20260818101010469,2,Red,Small
20260818101010468,4,Red,Small
20260818101010467,2,Red,Small
20260818101010466,6,Red,Big
20260818101010465,4,Red,Small
20260818101010464,8,Red,Big
20260818101010463,6,Red,Big
20260818101010462,1,Green,Small
20260818101010461,3,Green,Small
20260818101010460,8,Red,Big
20260818101010459,1,Green,Small
20260818101010458,9,Green,Big
20260818101010457,8,Red,Big
20260818101010456,9,Green,Big
20260818101010455,4,Red,Small
20260818101010454,1,Green,Small
20260818101010453,3,Green,Small
20260818101010452,6,Red,Big
20260818101010451,7,Green,Big
20260818101010450,2,Red,Small
20260818101010449,0,Violet,Small
20260818101010448,3,Green,Small
20260818101010447,1,Green,Small
20260818101010446,7,Green,Big
20260818101010445,3,Green,Small
20260818101010444,1,Green,Small
20260818101010443,5,Violet,Big
20260818101010442,5,Violet,Big
20260818101010441,9,Green,Big
20260818101010440,3,Green,Small
20260818101010439,5,Violet,Big
20260818101010438,1,Green,Small
20260818101010437,9,Green,Big
20260818101010436,1,Green,Small
20260818101010435,9,Green,Big
20260818101010434,3,Green,Small
20260818101010433,7,Green,Big
20260818101010432,6,Red,Big
20260818101010431,8,Red,Big
20260818101010430,7,Green,Big
20260818101010429,4,Red,Small
20260818101010428,1,Green,Small
20260818101010427,4,Red,Small
20260818101010426,7,Green,Big
20260818101010425,9,Green,Big
20260818101010424,8,Red,Big
20260818101010423,8,Red,Big
20260818101010422,0,Violet,Small
20260818101010421,8,Red,Big
20260818101010420,6,Red,Big
20260818101010419,8,Red,Big
20260818101010418,7,Green,Big
20260818101010417,0,Violet,Small
20260818101010416,7,Green,Big
20260818101010415,7,Green,Big
20260818101010414,2,Red,Small
20260818101010413,0,Violet,Small
20260818101010412,7,Green,Big
20260818101010411,2,Red,Small
20260818101010410,2,Red,Small
20260818101010409,0,Violet,Small
20260818101010408,4,Red,Small
20260818101010407,9,Green,Big
20260818101010406,6,Red,Big
20260818101010405,9,Green,Big
20260818101010404,8,Red,Big
20260818101010403,6,Red,Big
20260818101010402,8,Red,Big
20260818101010401,7,Green,Big
20260818101010400,1,Green,Small
20260818101010399,0,Violet,Small
20260818101010398,6,Red,Big
20260818101010397,6,Red,Big
20260818101010396,7,Green,Big
20260818101010395,4,Red,Small
20260818101010394,2,Red,Small
20260818101010393,7,Green,Big
20260818101010392,5,Violet,Big
20260818101010391,2,Red,Small
20260818101010390,0,Violet,Small
20260818101010389,2,Red,Small
20260818101010388,4,Red,Small
20260818101010387,2,Red,Small
20260818101010386,0,Violet,Small
20260818101010385,4,Red,Small
20260818101010384,9,Green,Big
20260818101010383,6,Red,Big
20260818101010382,6,Red,Big
20260818101010381,8,Red,Big
